"full_text","reply_count","favorited"
"ALLEN Result: #NEET2020
Highest No. of Students Qualified Among all Institutes of India
Total: 110350, CCP:79606, DLP:30744

✌️AIR-1 #SOYEBAFTAB 720/720 (Classroom)
&amp; 37 Students in Top 100 AIR

💐Congratulations to all the Future Doctors!
#ALLENKota #KotaCoaching #DeshKiCoaching https://t.co/fL4L0W65I6","8","false"
"कोटा से कोचिंग स्टूडेंट्स के लिए संचालित विशेष ट्रेन के रवाना होने से पूर्व कोटा रेलवे स्टेशन के प्लेटफार्म नंबर एक पर स्टूडेंट से बातचीत करते एलन के निदेशक नवीन माहेश्वरी @Naveen_ALLEN

@ombirlakota @DrRPNishank @ashokgehlot51 @RajCMO @GovindDotasra @NitishKumar @SushilModi https://t.co/XezJfqvlEp","5","false"
"Celebrating the Foundation Day with a Mega Health Check-up Camp, ALLEN Director - Sh. Naveen Maheshwari Sir graced the the ALLEN Satyarth Campus with his presence.

Here's the glimpse of the event - promoting health and wellness at its core.

#ALLENDeshKiCoaching @Naveen_ALLEN https://t.co/ba8wYEa1UZ","124","false"
"#EducationalCity, #Kota has once again created a benchmark by making unique efforts to help students of #KotaCoaching. Students from different states are being sent to their home safely during #Lockdown.  #allenkotasendinghome 
@timesofindia @narendramodi @PMOIndia @ashokgehlot51 https://t.co/FRjzbm9yxm","9","false"
"आत्मिक श्रद्धासुमन
कोचिंग सिटी कोटा की कीर्ति प्रतिस्थापित करने वाले आधारस्तंभ पितृपुरुष श्री विनोद कुमार बंसल (बंसल सर) के देवलोकगमन पर एलन परिवार आत्मिक श्रद्धासुमन अर्पित करता है। 
उनका यह योगदान निश्चय ही अतुल्य और चिरस्मरणीय रहेगा। https://t.co/ZUcQ1JzUQQ","7","false"
"#CareerCityKota सर्वश्रेष्ठ क्योंकि सबसे ज्यादा टॉपर यहीं से निकलते हैं। केयरिंग ऐसी कि लॉकडाउन में स्टूडेंट्स को कोटा ने  अभिभावक की तरह सम्भाला और उन्हें सुरक्षित घर पहुंचाया। आज भी कोचिंग जोन पूरी तरह सुरक्षित व कोरोना मुक्त है। 
@narendramodi @DrRPNishank @HRDMinistry https://t.co/SK8ZPKzJbK","15","false"
"Isn't this the proudest moment for us #Indians!! 🇮🇳
@paraga has been appointed as the new CEO of Twitter. We hope many more students of #IITs rise and take the lead on Tech Platforms in the coming years. 

#CEOs #ParagAgrawal #TwitterCEO https://t.co/ECJuptQGBJ","12","false"
"#Kotacoaching 
Thank you @Naveen_ALLEN sir for ensuring safety &amp; security of all the students. Tirelessly working day &amp; night. And encouraging students till the last bus leaves for the destination. आपके नेतृत्व में पूरा एलन परिवार गौरवान्वित महसूस कर रहा है 🙏🙏
@ombirlakota https://t.co/O8Zi2Vtqy0","6","false"
"#NEET2022 Online Application Begins❗
NTA has just released the Official Notification for the #NEET exam with Important Dates Schedule.
Exam Date: 17 July 2022
Application Ends: 6 May 2022, upto 11.50 PM

Here's the official notification released 👇🏻

#Neetug2022 #NEETexam https://t.co/EscrIeCRmh","7","false"
"📯ALLEN Result: #JEEAdvanced2020
Even Pandemic couldn't stop ALLENites to ace JEE Adv 2020✌️

🏆AIR-3, Vaibhav Raj (Classroom)
🏆AIR-4, Muhender R Rajvee (Classroom)

Think IIT, Think ALLEN..!!

🎯 Authenticity of Result: Power of ALLEN✌️

#ALLENkota #KotaCoaching #DeshKiCoaching https://t.co/GYq9Ai3oXg","13","false"
